"app","year","region","country","country_name","downloads","revenue_usd","rpd","downloads_M","revenue_M"
"Garena Free Fire","2023","东南亚","ID","印尼","27976457","18754930","0.67","27.976","18.755"
"Garena Free Fire","2023","东南亚","VN","越南","16533830","5926702","0.36","16.534","5.927"
"Garena Free Fire","2023","东南亚","TH","泰国","8595634","19094737","2.22","8.596","19.095"
"Garena Free Fire","2023","东南亚","MY","马来西亚","1873610","5400151","2.88","1.874","5.4"
"Garena Free Fire","2023","东南亚","PH","菲律宾","1785321","350685","0.2","1.785","0.351"
"Garena Free Fire","2023","中东","IQ","伊拉克","3066468","398919","0.13","3.066","0.399"
"Garena Free Fire","2023","中东","SA","沙特阿拉伯","2128107","3485741","1.64","2.128","3.486"
"Garena Free Fire","2023","中东","DZ","阿尔及利亚","4332876","61589","0.01","4.333","0.062"
"Garena Free Fire","2023","中东","EG","埃及","2837977","958107","0.34","2.838","0.958"
"Garena Free Fire","2023","中东","MA","摩洛哥","3315894","407900","0.12","3.316","0.408"
"Garena Free Fire","2023","拉美","BR","巴西","20008282","10659544","0.53","20.008","10.66"
"Garena Free Fire","2023","拉美","MX","墨西哥","14966922","85393741","5.71","14.967","85.394"
"Garena Free Fire","2023","拉美","PE","秘鲁","3171745","5815074","1.83","3.172","5.815"
"Garena Free Fire","2023","拉美","CO","哥伦比亚","5677408","5573853","0.98","5.677","5.574"
"Garena Free Fire","2023","拉美","CL","智利","1443632","11773665","8.16","1.444","11.774"
"Garena Free Fire","2023","拉美","AR","阿根廷","4041794","1626265","0.4","4.042","1.626"
"Garena Free Fire","2024","东南亚","ID","印尼","45493322","19871525","0.44","45.493","19.872"
"Garena Free Fire","2024","东南亚","VN","越南","20338012","6785685","0.33","20.338","6.786"
"Garena Free Fire","2024","东南亚","TH","泰国","10748730","17724280","1.65","10.749","17.724"
"Garena Free Fire","2024","东南亚","MY","马来西亚","2806850","5036405","1.79","2.807","5.036"
"Garena Free Fire","2024","东南亚","PH","菲律宾","1905365","269193","0.14","1.905","0.269"
"Garena Free Fire","2024","中东","IQ","伊拉克","3499016","696663","0.2","3.499","0.697"
"Garena Free Fire","2024","中东","SA","沙特阿拉伯","2678929","3473682","1.3","2.679","3.474"
"Garena Free Fire","2024","中东","DZ","阿尔及利亚","7840767","108703","0.01","7.841","0.109"
"Garena Free Fire","2024","中东","EG","埃及","3983326","372155","0.09","3.983","0.372"
"Garena Free Fire","2024","中东","MA","摩洛哥","4909674","817695","0.17","4.91","0.818"
"Garena Free Fire","2024","拉美","BR","巴西","22091419","13544573","0.61","22.091","13.545"
"Garena Free Fire","2024","拉美","MX","墨西哥","14583844","103638242","7.11","14.584","103.638"
"Garena Free Fire","2024","拉美","PE","秘鲁","3183941","6532681","2.05","3.184","6.533"
"Garena Free Fire","2024","拉美","CO","哥伦比亚","5369044","4453337","0.83","5.369","4.453"
"Garena Free Fire","2024","拉美","CL","智利","1367617","7205467","5.27","1.368","7.205"
"Garena Free Fire","2024","拉美","AR","阿根廷","3809862","1507878","0.4","3.81","1.508"
"Garena Free Fire","2025","东南亚","ID","印尼","38668223","12910982","0.33","38.668","12.911"
"Garena Free Fire","2025","东南亚","VN","越南","18770288","8569362","0.46","18.77","8.569"
"Garena Free Fire","2025","东南亚","TH","泰国","10385481","25587056","2.46","10.385","25.587"
"Garena Free Fire","2025","东南亚","MY","马来西亚","3152013","5747113","1.82","3.152","5.747"
"Garena Free Fire","2025","东南亚","PH","菲律宾","1919551","295687","0.15","1.92","0.296"
"Garena Free Fire","2025","中东","IQ","伊拉克","3363399","652080","0.19","3.363","0.652"
"Garena Free Fire","2025","中东","SA","沙特阿拉伯","2744720","3769590","1.37","2.745","3.77"
"Garena Free Fire","2025","中东","DZ","阿尔及利亚","7391814","122943","0.02","7.392","0.123"
"Garena Free Fire","2025","中东","EG","埃及","4040271","264875","0.07","4.04","0.265"
"Garena Free Fire","2025","中东","MA","摩洛哥","5420797","941278","0.17","5.421","0.941"
"Garena Free Fire","2025","拉美","BR","巴西","19491574","16303294","0.84","19.492","16.303"
"Garena Free Fire","2025","拉美","MX","墨西哥","11971581","114076924","9.53","11.972","114.077"
"Garena Free Fire","2025","拉美","PE","秘鲁","3629697","6024072","1.66","3.63","6.024"
"Garena Free Fire","2025","拉美","CO","哥伦比亚","6025538","3879923","0.64","6.026","3.88"
"Garena Free Fire","2025","拉美","CL","智利","1302473","10582438","8.12","1.302","10.582"
"Garena Free Fire","2025","拉美","AR","阿根廷","4090747","2344707","0.57","4.091","2.345"
"Arena of Valor","2023","东南亚","ID","印尼","1885053","122089","0.06","1.885","0.122"
"Arena of Valor","2023","东南亚","VN","越南","13822776","6304908","0.46","13.823","6.305"
"Arena of Valor","2023","东南亚","TH","泰国","6686383","39356861","5.89","6.686","39.357"
"Arena of Valor","2023","东南亚","MY","马来西亚","306808","1180372","3.85","0.307","1.18"
"Arena of Valor","2023","东南亚","PH","菲律宾","761790","53387","0.07","0.762","0.053"
"Arena of Valor","2023","中东","IQ","伊拉克","474","1991","4.2","0","0.002"
"Arena of Valor","2023","中东","SA","沙特阿拉伯","26335","12956","0.49","0.026","0.013"
"Arena of Valor","2023","中东","DZ","阿尔及利亚","16988","12","0","0.017","0"
"Arena of Valor","2023","中东","EG","埃及","41798","13826","0.33","0.042","0.014"
"Arena of Valor","2023","中东","MA","摩洛哥","484","1142","2.36","0","0.001"
"Arena of Valor","2023","拉美","BR","巴西","293015","111874","0.38","0.293","0.112"
"Arena of Valor","2023","拉美","MX","墨西哥","55259","73087","1.32","0.055","0.073"
"Arena of Valor","2023","拉美","PE","秘鲁","47532","47130","0.99","0.048","0.047"
"Arena of Valor","2023","拉美","CO","哥伦比亚","55232","18243","0.33","0.055","0.018"
"Arena of Valor","2023","拉美","CL","智利","21527","48711","2.26","0.022","0.049"
