"app","year","region","downloads","revenue_usd","rpd","downloads_M","revenue_M"
"Garena Free Fire","2023","东南亚","56764852","49527206","0.87","56.765","49.527"
"Garena Free Fire","2023","中东","15681322","5312255","0.34","15.681","5.312"
"Garena Free Fire","2023","拉美","49309783","120842142","2.45","49.31","120.842"
"Garena Free Fire","2023","合计","121755957","175681603","1.44","121.756","175.682"
"Garena Free Fire","2024","东南亚","81292279","49687087","0.61","81.292","49.687"
"Garena Free Fire","2024","中东","22911712","5468898","0.24","22.912","5.469"
"Garena Free Fire","2024","拉美","50405727","136882179","2.72","50.406","136.882"
"Garena Free Fire","2024","合计","154609718","192038164","1.24","154.61","192.038"
"Garena Free Fire","2025","东南亚","72895556","53110200","0.73","72.896","53.11"
"Garena Free Fire","2025","中东","22961001","5750766","0.25","22.961","5.751"
"Garena Free Fire","2025","拉美","46511610","153211358","3.29","46.512","153.211"
"Garena Free Fire","2025","合计","142368167","212072324","1.49","142.368","212.072"
"Arena of Valor","2023","东南亚","23462810","47017617","2","23.463","47.018"
"Arena of Valor","2023","中东","86079","29927","0.35","0.086","0.03"
"Arena of Valor","2023","拉美","522918","326502","0.62","0.523","0.327"
"Arena of Valor","2023","合计","24071807","47374046","1.97","24.072","47.374"
"Arena of Valor","2024","东南亚","19435571","27899695","1.44","19.436","27.9"
"Arena of Valor","2024","中东","51506","7572","0.15","0.052","0.008"
"Arena of Valor","2024","拉美","205109","108887","0.53","0.205","0.109"
"Arena of Valor","2024","合计","19692186","28016154","1.42","19.692","28.016"
"Arena of Valor","2025","东南亚","17492935","20599743","1.18","17.493","20.6"
"Arena of Valor","2025","中东","21590","3831","0.18","0.022","0.004"
"Arena of Valor","2025","拉美","72796","84156","1.16","0.073","0.084"
"Arena of Valor","2025","合计","17587321","20687731","1.18","17.587","20.688"
