year,region,country,downloads,revenue_usd,rpd
2023,SEA,ID,78348,62987,0.8039
2023,SEA,VN,0,0,0
2023,SEA,TH,597909,652673,1.0916
2023,SEA,MY,70590,415006,5.8791
2023,SEA,PH,79349,89278,1.1251
2023,MENA,IQ,21385,4088,0.1912
2023,MENA,SA,61054,141898,2.3241
2023,MENA,DZ,12044,171,0.0142
2023,MENA,EG,19087,8422,0.4412
2023,MENA,MA,4133,1473,0.3564
2023,LATAM,BR,174617,217249,1.2441
2023,LATAM,MX,86636,290805,3.3566
2023,LATAM,PE,10238,23047,2.2511
2023,LATAM,CO,22889,16753,0.7319
2023,LATAM,CL,20548,75541,3.6763
2023,LATAM,AR,22254,23665,1.0634
2024,SEA,ID,74989,55693,0.7427
2024,SEA,VN,0,231,0
2024,SEA,TH,605098,600296,0.9921
2024,SEA,MY,103236,556582,5.3914
2024,SEA,PH,89977,98104,1.0903
2024,MENA,IQ,14768,9256,0.6268
2024,MENA,SA,50430,136332,2.7034
2024,MENA,DZ,10503,292,0.0278
2024,MENA,EG,12848,2206,0.1717
2024,MENA,MA,2655,3718,1.4004
2024,LATAM,BR,148689,230424,1.5497
2024,LATAM,MX,83281,361528,4.3411
2024,LATAM,PE,10522,23389,2.2229
2024,LATAM,CO,23901,26750,1.1192
2024,LATAM,CL,18566,80933,4.3592
2024,LATAM,AR,19506,30375,1.5572
2025,SEA,ID,54468,43385,0.7965
2025,SEA,VN,0,0,0
2025,SEA,TH,455765,601231,1.3192
2025,SEA,MY,61090,471827,7.7235
2025,SEA,PH,59819,68930,1.1523
2025,MENA,IQ,19105,13828,0.7238
2025,MENA,SA,40985,129908,3.1696
2025,MENA,DZ,5453,709,0.13
2025,MENA,EG,3836,2478,0.646
2025,MENA,MA,3988,5383,1.3498
2025,LATAM,BR,104987,162875,1.5514
2025,LATAM,MX,58460,319678,5.4683
2025,LATAM,PE,7425,21090,2.8404
2025,LATAM,CO,15025,23656,1.5744
2025,LATAM,CL,12117,56139,4.6331
2025,LATAM,AR,13398,40597,3.0301
