app,year,region,country,downloads,revenue_usd,rpd
identity,Y1,SEA,ID,749563,86461,0.1153
identity,Y1,SEA,VN,937777,83675,0.0892
identity,Y1,SEA,TH,4958111,2943146,0.5936
identity,Y1,SEA,MY,458005,239148,0.5222
identity,Y1,SEA,PH,371208,53006,0.1428
identity,Y1,MENA,IQ,0,0,0
identity,Y1,MENA,SA,99776,5938,0.0595
identity,Y1,MENA,DZ,6814,12,0.0018
identity,Y1,MENA,EG,19661,675,0.0343
identity,Y1,MENA,MA,0,0,0
identity,Y1,LATAM,BR,896343,63305,0.0706
identity,Y1,LATAM,MX,296262,62555,0.2111
identity,Y1,LATAM,PE,26246,5558,0.2118
identity,Y1,LATAM,CO,73611,4295,0.0583
identity,Y1,LATAM,CL,84565,11903,0.1408
identity,Y1,LATAM,AR,111569,3476,0.0312
identity,Y2,SEA,ID,271216,188921,0.6966
identity,Y2,SEA,VN,327116,170073,0.5199
identity,Y2,SEA,TH,1898176,2214939,1.1669
identity,Y2,SEA,MY,251680,393170,1.5622
identity,Y2,SEA,PH,189214,110280,0.5828
identity,Y2,MENA,IQ,0,0,0
identity,Y2,MENA,SA,111239,105392,0.9474
identity,Y2,MENA,DZ,2365,20,0.0085
identity,Y2,MENA,EG,8968,2190,0.2442
identity,Y2,MENA,MA,0,0,0
identity,Y2,LATAM,BR,328371,143638,0.4374
identity,Y2,LATAM,MX,131803,139832,1.0609
identity,Y2,LATAM,PE,14116,10456,0.7407
identity,Y2,LATAM,CO,31154,6350,0.2038
identity,Y2,LATAM,CL,49681,36019,0.725
identity,Y2,LATAM,AR,28869,8158,0.2826
identity,Y3,SEA,ID,86653,141945,1.6381
identity,Y3,SEA,VN,109336,15138,0.1385
identity,Y3,SEA,TH,826132,1849287,2.2385
identity,Y3,SEA,MY,114121,400198,3.5068
identity,Y3,SEA,PH,168202,157353,0.9355
identity,Y3,MENA,IQ,0,0,0
identity,Y3,MENA,SA,90301,293862,3.2542
identity,Y3,MENA,DZ,886,63,0.0711
identity,Y3,MENA,EG,3937,3780,0.9601
identity,Y3,MENA,MA,0,0,0
identity,Y3,LATAM,BR,196264,235386,1.1993
identity,Y3,LATAM,MX,83524,285129,3.4137
identity,Y3,LATAM,PE,7977,20562,2.5777
identity,Y3,LATAM,CO,12601,19862,1.5762
identity,Y3,LATAM,CL,36912,148190,4.0147
identity,Y3,LATAM,AR,10292,18390,1.7868
mlbb,Y1,SEA,ID,8042333,5069197,0.6303
mlbb,Y1,SEA,VN,4200086,91177,0.0217
mlbb,Y1,SEA,TH,5210398,1142846,0.2193
mlbb,Y1,SEA,MY,2939369,6469117,2.2009
mlbb,Y1,SEA,PH,8848250,3224196,0.3644
mlbb,Y1,MENA,IQ,0,0,0
mlbb,Y1,MENA,SA,194299,234423,1.2065
mlbb,Y1,MENA,DZ,87158,922,0.0106
mlbb,Y1,MENA,EG,250485,6111,0.0244
mlbb,Y1,MENA,MA,0,0,0
mlbb,Y1,LATAM,BR,2920327,575164,0.197
mlbb,Y1,LATAM,MX,582689,157755,0.2707
mlbb,Y1,LATAM,PE,60641,12711,0.2096
mlbb,Y1,LATAM,CO,283037,16163,0.0571
mlbb,Y1,LATAM,CL,130557,42038,0.322
mlbb,Y1,LATAM,AR,658069,151629,0.2304
mlbb,Y2,SEA,ID,45734058,22484253,0.4916
mlbb,Y2,SEA,VN,4990391,386395,0.0774
mlbb,Y2,SEA,TH,4706310,1388293,0.295
mlbb,Y2,SEA,MY,5311193,21992980,4.1409
mlbb,Y2,SEA,PH,7293191,9333750,1.2798
mlbb,Y2,MENA,IQ,0,0,0
mlbb,Y2,MENA,SA,540118,743307,1.3762
mlbb,Y2,MENA,DZ,43249,3743,0.0865
mlbb,Y2,MENA,EG,176489,53901,0.3054
